,Suburb,Latitude,Longitude
175,CURRAWONG BEACH,-33.5952267,151.2987319
176,CURRANS HILL,-34.0463519,150.7712456
177,DACEYVILLE,-33.9289328,151.2251839
178,DANGAR ISLAND,-33.5387077,151.239494
179,DARKES FOREST,-34.2188889,150.9069444
180,DARLING POINT,-33.8730723,151.2376378
181,DARLINGHURST,-33.8783381,151.219225
182,DARLINGTON,-33.8728652,151.1948962074308
183,DAVIDSON,35.4993031,-80.8486846
184,DAWES POINT,-33.8572223,151.2067756
185,DEAN PARK,-33.7328296,150.852577
186,DEE WHY,-33.7536635,151.2899954
187,DENHAM COURT,-33.9813889,150.8294444
188,DENISTONE,-33.7989066,151.0887
189,DENISTONE EAST,-33.7962842,151.0982887
190,DENISTONE WEST,-33.8005739,151.0767642
191,DHARRUK,-33.7480556,150.8147222
192,DOLANS BAY,-34.0644424,151.1282277
193,DOLLS POINT,-33.9936111,151.1447222
194,DOONSIDE,-33.7549501,150.8685985
195,DOUBLE BAY,-33.8766373,151.24245
196,DOVER HEIGHTS,-33.8739831,151.2810366
197,DRUMMOYNE,-33.8520678,151.153689
198,DUFFYS FOREST,-33.6733265,151.1927796
199,DULWICH HILL,-33.9103059,151.1400503
200,DUNDAS,-33.802949,151.0440587
201,DUNDAS VALLEY,-33.7936744,151.0559069
202,DURAL,-33.6876398,151.0267199
203,EAGLE VALE,-34.0377778,150.8111111
204,EARLWOOD,-33.9247222,151.1313889
205,EAST HILLS,-33.960853,150.9879189
206,EAST KILLARA,-33.7554823,151.1811998
207,EAST LINDFIELD,-33.7681132,151.1883362
208,EAST RYDE,-33.8097017,151.1353884
209,EASTERN CREEK,-33.8059423,150.849956
210,EASTGARDENS,-33.9447657,151.2250921
211,EASTLAKES,-33.9310733,151.2113667
212,EASTWOOD,-33.79,151.0844444
213,EDENSOR PARK,-33.8802849,150.8762602
214,EDGECLIFF,-33.8792537,151.2361559
215,EDMONDSON PARK,-33.9628336,150.8563294
216,ELANORA HEIGHTS,-33.6994613,151.2750587
217,ELDERSLIE,55.8354647,-4.4905294
218,ELIZABETH BAY,-33.8716908,151.2282875
219,ELIZABETH HILLS,-33.9002288,150.8487942
220,ELVINA BAY,-33.6377531,151.2802489
221,EMERTON,-33.7477024,150.8043608
222,ENFIELD,51.6520851,-0.0810175
223,ENGADINE,-34.0650134,151.0138225
224,ENGLORIE PARK,-34.0806577,150.7950629
225,ENMORE,-33.8996968,151.170986
226,EPPING,-33.7718546,151.0745367
227,ERMINGTON,-33.8101156,151.0600559
228,ERSKINE PARK,-33.8086111,150.8013889
229,ERSKINEVILLE,-33.9021718,151.1859881
230,ESCHOL PARK,-34.0316667,150.8011111
231,EVELEIGH,-33.895,151.1913889
232,FAIRFIELD,50.9037754,-1.064035
233,FAIRFIELD EAST,-33.8747423,150.9721298
234,FAIRFIELD HEIGHTS,40.4684018,-79.1792006
235,FAIRFIELD WEST,-33.8689308,150.9243383
236,FAIRLIGHT,-30.5173338,146.8999309
237,FIVE DOCK,-33.8690024,151.1290231
238,FOREST GLEN,41.978588349999995,-87.75193466758846
239,FOREST LODGE,-33.8805556,151.1783333
240,FORESTVILLE,48.739437,-69.088211
241,FRENCHS FOREST,-33.7479954,151.2292718
242,FRESHWATER,50.6814402,-1.5231372
243,GALSTON,-33.6467002,151.0642498
244,GEORGES HALL,-33.9101113,150.9879924
245,GILEAD,44.394542,-70.973053
246,GIRRAWEEN,-33.7983305,150.9427707
247,GLADESVILLE,-33.8275,151.1263889
248,GLEBE,-33.8777782,151.1862377
249,GLEDSWOOD HILLS,-34.0102826,150.78002
250,GLEN ALPINE,35.7290168,-81.7792661
251,GLENDENNING,-33.7483333,150.8511111
252,GLENFIELD,-33.9733455,150.8957217
253,GLENHAVEN,-33.7027383,151.0008049
254,GLENMORE PARK,-33.7887972,150.669496
255,GLENORIE,-33.5658885,150.9927835
256,GLENWOOD,51.5179732,-3.1596687
257,GORDON,-33.7557991,151.1543302
258,GRANVILLE,-33.8345097,151.0060111
259,GRAYS POINT,-34.0591451,151.0786995
260,GREAT MACKEREL BEACH,-33.591505,151.2988852
261,GREEN VALLEY,-33.9024601,150.8674187
262,GREENACRE,-33.9022902,151.058546
263,GREENDALE,-33.9150012,150.6677734
264,GREENFIELD PARK,41.7259269,-74.4857134
265,GREENHILLS BEACH,-34.0360657,151.1632914
266,GREENWICH,51.4820845,-0.0045417
267,GREGORY HILLS,-34.0276672,150.7761923
268,GREYSTANES,-33.8262187,150.9414378
269,GUILDFORD,51.2356068,-0.5732063
270,GUILDFORD WEST,-33.8483084,150.9657421
271,GYMEA,-34.0341447,151.085653
272,GYMEA BAY,-34.0495813,151.0872431
273,HABERFIELD,-33.8794325,151.1391605
274,HAMMONDVILLE,-33.9511518,150.9608619
275,HARRINGTON PARK,40.9837089,-73.9798601
276,HARRIS PARK,-33.8224029,151.0117558
277,HASSALL GROVE,-33.7316667,150.8344444
278,HAYMARKET,-33.8814674,151.2053347
279,HEATHCOTE,40.3887176,-74.5757113
280,HEBERSHAM,-33.7455739,150.8253839
281,HECKENBERG,-33.9077778,150.8913889
282,HELENSBURGH,56.0033464,-4.7342935
283,HENLEY,51.5375786,-0.9050287
284,HILLSDALE,-33.9529465,151.2274123
285,HINCHINBROOK,-33.9159661,150.8645957
286,HOBARTVILLE,-33.604718,150.7436152
287,HOLROYD,-33.8297155,150.9974898
288,HOLSWORTHY,-33.9597307,150.9502719
289,HOMEBUSH,-33.860451,151.0806118
290,HOMEBUSH WEST,-33.8619802,151.0665026
291,HORNINGSEA PARK,-33.9460804,150.8432271
292,HORNSBY,-33.5724083,151.13177549754764
293,HORNSBY HEIGHTS,-33.6589881,151.098374
294,HORSLEY PARK,-33.8387723,150.8484629
295,HOXTON PARK,-33.9294022,150.8560164
296,HUNTERS HILL,-33.8336171,151.1449446
297,HUNTINGWOOD,-33.797973,150.881592
298,HUNTLEYS COVE,-33.8383333,151.1375
299,HUNTLEYS POINT,-33.8397222,151.1441667
300,HURSTVILLE,-33.9678324,151.1037964
301,HURSTVILLE GROVE,-33.9775526,151.0929579
